ref_id,category,skill,description,source_site,source_repo
76,Frontend Development,add-uint-support,"Add unsigned integer (uint) type support to PyTorch operators by updating AT_DISPATCH macros. Use when adding support for uint16, uint32, uint64 types to operators, kernels, or when user mentions enabling unsigned types, barebones unsigned types, or uint support.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
77,Frontend Development,writing-dev-server-tests,"Guides writing HMR/Dev Server tests in test/bake/. Use when creating or modifying dev server, hot reloading, or bundling tests.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
78,Frontend Development,command-development,"This skill should be used when the user asks to ""create a slash command"", ""add a command"", ""write a custom command"", ""define command arguments"", ""use command frontmatter"", ""organize commands"", ""create command with file references"", ""interactive command"", ""use AskUserQuestion in command"", or needs guidance on slash command structure, YAML frontmatter fields, dynamic arguments, bash execution in commands, user interaction patterns, or command development best practices for Claude Code.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
79,Frontend Development,implementing-agent-modes,"Guidelines to create/update a new mode for PostHog AI agent. Modes are a way to limit what tools, prompts, and prompt injections are applied and under what conditions. Achieve better results using your plan mode.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
80,Frontend Development,wcag-audit-patterns,"Conduct WCAG 2.2 accessibility audits with automated testing, manual verification, and remediation guidance. Use when auditing websites for accessibility, fixing WCAG violations, or implementing accessible design patterns.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
81,Frontend Development,risk-metrics-calculation,"Calculate portfolio risk metrics including VaR, CVaR, Sharpe, Sortino, and drawdown analysis. Use when measuring portfolio risk, implementing risk limits, or building risk monitoring systems.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
82,Frontend Development,nft-standards,"Implement NFT standards (ERC-721, ERC-1155) with proper metadata handling, minting strategies, and marketplace integration. Use when creating NFT contracts, building NFT marketplaces, or implementing digital asset systems.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
83,Frontend Development,nextjs-app-router-patterns,"Master Next.js 14+ App Router with Server Components, streaming, parallel routes, and advanced data fetching. Use when building Next.js applications, implementing SSR/SSG, or optimizing React Server Components.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
84,Frontend Development,ml-pipeline-workflow,"Build end-to-end MLOps pipelines from data preparation through model training, validation, and production deployment. Use when creating ML pipelines, implementing MLOps practices, or automating model training and deployment workflows.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
85,Frontend Development,istio-traffic-management,"Configure Istio traffic management including routing, load balancing, circuit breakers, and canary deployments. Use when implementing service mesh traffic policies, progressive delivery, or resilience patterns.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
86,Backend Development,bun-file-io,"Use this when you are working on file operations like reading, writing, scanning, or deleting files. It summarizes the preferred file APIs and patterns used in this repo. It also notes when to use filesystem helpers for directories.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
87,Backend Development,add-admin-api-endpoint,Add a new endpoint or endpoints to Ghost's Admin API at `ghost/api/admin/**`.,https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
88,Backend Development,generate-migration,"Generate Django database migrations for Sentry. Use when creating migrations, adding/removing columns or tables, adding indexes, or resolving migration conflicts.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
89,Backend Development,temporal-python-testing,"Test Temporal workflows with pytest, time-skipping, and mocking strategies. Covers unit testing, integration testing, replay testing, and local development setup. Use when implementing Temporal workflow tests or debugging test failures.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
90,Backend Development,zarr-python,"Chunked N-D arrays for cloud storage. Compressed arrays, parallel I/O, S3/GCS integration, NumPy/Dask/Xarray compatible, for large-scale scientific computing pipelines.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
91,Backend Development,sympy,"Use this skill when working with symbolic mathematics in Python. This skill should be used for symbolic computation tasks including solving equations algebraically, performing calculus operations (derivatives, integrals, limits), manipulating algebraic expressions, working with matrices symbolically, physics calculations, number theory problems, geometry computations, and generating executable code from mathematical expressions.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
92,Backend Development,shap,"Model interpretability and explainability using SHAP (SHapley Additive exPlanations). Use this skill when explaining machine learning model predictions, computing feature importance, generating SHAP plots (waterfall, beeswarm, bar, scatter, force, heatmap), debugging models, analyzing model bias or fairness, comparing models, or implementing explainable AI. Works with tree-based models (XGBoost, LightGBM, Random Forest), deep learning (TensorFlow, PyTorch), linear models, and any black-box model.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
93,Backend Development,sentencepiece,"Language-independent tokenizer treating text as raw Unicode. Supports BPE and Unigram algorithms. Fast (50k sentences/sec), lightweight (6MB memory), deterministic vocabulary. Used by T5, ALBERT, XLNet, mBART. Train on raw text without pre-tokenization. Use when you need multilingual support, CJK languages, or reproducible tokenization.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
94,Backend Development,scvi-tools,"This skill should be used when working with single-cell omics data analysis using scvi-tools, including scRNA-seq, scATAC-seq, CITE-seq, spatial transcriptomics, and other single-cell modalities. Use this skill for probabilistic modeling, batch correction, dimensionality reduction, differential expression, cell type annotation, multimodal integration, and spatial analysis tasks.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
95,Backend Development,quality-manager-qmr,"Senior Quality Manager Responsible Person (QMR) for HealthTech and MedTech companies. Provides overall quality system responsibility, regulatory compliance oversight, management accountability, and strategic quality leadership. Use for quality system governance, regulatory compliance oversight, management responsibility, and quality strategic planning.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
96,DevOps,gitops-workflow,"Implement GitOps workflows with ArgoCD and Flux for automated, declarative Kubernetes deployments with continuous reconciliation. Use when implementing GitOps practices, automating Kubernetes deployments, or setting up declarative infrastructure management.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
97,DevOps,managing-devops-pipeline,"Manage BlueKing CI pipeline build operations, including querying build history, retrieving startup parameters, checking build status, and triggering builds. Use when the user mentions pipelines, builds, deployments, CI/CD, BlueKing, or needs to trigger a build job.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
98,DevOps,opentelemetry-instrumentation-extension,"Extend OpenTelemetry instrumentation when new functionality is added to the MCP Gateway. Use when (1) new operations/functions are added, (2) reviewing code for missing instrumentation, (3) user requests otel/telemetry additions, or (4) working with state-changing operations.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
99,DevOps,yaml-config-validator,"Yaml Config Validator - Auto-activating skill for DevOps Basics. Triggers on: yaml config validator, yaml config validator Part of the DevOps Basics skill category.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
100,DevOps,version-bumper,"Manage version bumper operations. Auto-activating skill for DevOps Basics. Triggers on: version bumper, version bumper Part of the DevOps Basics skill category. Use when working with version bumper functionality. Trigger with phrases like ""version bumper"", ""version bumper"", ""version"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
101,DevOps,terraform-state-manager,"Terraform State Manager - Auto-activating skill for DevOps Advanced. Triggers on: terraform state manager, terraform state manager Part of the DevOps Advanced skill category.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
102,DevOps,terraform-provider-config,"Configure terraform provider config operations. Auto-activating skill for DevOps Advanced. Triggers on: terraform provider config, terraform provider config Part of the DevOps Advanced skill category. Use when configuring systems or services. Trigger with phrases like ""terraform provider config"", ""terraform config"", ""terraform"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
103,DevOps,ssh-key-manager,"Manage ssh key manager operations. Auto-activating skill for DevOps Basics. Triggers on: ssh key manager, ssh key manager Part of the DevOps Basics skill category. Use when working with ssh key manager functionality. Trigger with phrases like ""ssh key manager"", ""ssh manager"", ""ssh"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
105,DevOps,readme-generator,"Readme Generator - Auto-activating skill for DevOps Basics. Triggers on: readme generator, readme generator Part of the DevOps Basics skill category.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
106,Testing & QA,qms-audit-expert,"Senior QMS Audit Expert for internal and external quality management system auditing. Provides ISO 13485 audit expertise, audit program management, nonconformity identification, and corrective action verification. Use for internal audit planning, external audit preparation, audit execution, and audit follow-up activities.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
107,Testing & QA,it-operations,"Manages IT infrastructure, monitoring, incident response, and service reliability. Provides frameworks for ITIL service management, observability strategies, automation, backup/recovery, capacity planning, and operational excellence practices.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
108,Testing & QA,evaluating-code-models,"Evaluates code generation models across HumanEval, MBPP, MultiPL-E, and 15+ benchmarks with pass@k metrics. Use when benchmarking code models, comparing coding abilities, testing multi-language support, or measuring code generation quality. Industry standard from BigCode Project used by HuggingFace leaderboards.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
109,Testing & QA,resolve-conflicts,"Use this skill immediately when the user mentions merge conflicts that need to be resolved. Do not attempt to resolve conflicts directly - invoke this skill first. This skill specializes in providing a structured framework for merging imports, tests, lock files (regeneration), configuration files, and handling deleted-but-modified files with backup and analysis.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
110,Testing & QA,qlty-check,"Code quality checks, formatting, and metrics via qlty CLI",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
111,Testing & QA,lint-and-validate,"Automatic quality control, linting, and static analysis procedures. Use after every code modification to ensure syntax correctness and project standards. Triggers onKeywords: lint, format, check, validate, types, static analysis.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
112,Testing & QA,simplify,"Refactor code after tests pass. The ""Refactor"" phase of Red-Green-Refactor.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
113,Testing & QA,changelog-orchestrator,"Draft changelog PRs by collecting GitHub/Slack/Git changes, formatting with templates, running quality gates, and preparing a branch/PR. Use when generating weekly/monthly release notes or when the user asks to create a changelog from recent merges. Trigger with ""changelog weekly"", ""generate release notes"", ""draft changelog"", ""create changelog PR"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
114,Testing & QA,tdd-workflow,"Use this skill when writing new features, fixing bugs, or refactoring code. Enforce test-driven development (TDD), including unit tests, integration tests, and end-to-end (E2E) tests, ensuring test coverage exceeds 80%.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
115,Testing & QA,oping,"Test connectivity with OpenCode (shorthand: oc) using the oping CLI. Use when the user explicitly asks to check OpenCode/oc status or connectivity (e.g., “oc ping”, “oc is it alive?”, “is OpenCode connected?”), or when troubleshooting cases where OpenCode is not responding.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
116,Security,deployment-pipeline-design,"Design multi-stage CI/CD pipelines with approval gates, security checks, and deployment orchestration. Use when architecting deployment workflows, setting up continuous delivery, or implementing GitOps practices.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
117,Security,wordpress-penetration-testing,"This skill should be used when the user asks to ""pentest WordPress sites"", ""scan WordPress for vulnerabilities"", ""enumerate WordPress users, themes, or plugins"", ""exploit WordPress vulnerabilities"", or ""use WPScan"". It provides comprehensive WordPress security assessment methodologies.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
118,Security,pentest-checklist,"This skill should be used when the user asks to ""plan a penetration test"", ""create a security assessment checklist"", ""prepare for penetration testing"", ""define pentest scope"", ""follow security testing best practices"", or needs a structured methodology for penetration testing engagements.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
119,Security,ton-vulnerability-scanner,"Scans TON (The Open Network) smart contracts for 3 critical vulnerabilities including integer-as-boolean misuse, fake Jetton contracts, and forward TON without gas checks. Use when auditing FunC contracts. (project, gitignored)",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
120,Security,performing-penetration-testing,"Perform security penetration testing to identify vulnerabilities. Use when conducting security assessments. Trigger with 'run pentest', 'security testing', or 'find vulnerabilities'.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
121,Security,encrypting-and-decrypting-data,"Validate encryption implementations and cryptographic practices. Use when reviewing data security measures. Trigger with 'check encryption', 'validate crypto', or 'review security keys'.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
122,Security,clerk-observability,"Implement monitoring, logging, and observability for Clerk authentication. Use when setting up monitoring, debugging auth issues in production, or implementing audit logging. Trigger with phrases like ""clerk monitoring"", ""clerk logging"", ""clerk observability"", ""clerk metrics"", ""clerk audit log"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
123,Security,checking-owasp-compliance,"Check compliance with OWASP Top 10 security risks and best practices. Use when performing comprehensive security audits. Trigger with 'check OWASP compliance', 'audit web security', or 'validate OWASP'.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
124,Security,auditing-access-control,"Audit access control implementations for security vulnerabilities and misconfigurations. Use when reviewing authentication and authorization. Trigger with 'audit access control', 'check permissions', or 'validate authorization'.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
125,Security,llvm-obfuscation,"Expertise in LLVM-based code obfuscation techniques including OLLVM, control flow flattening, string encryption, virtualization, and anti-analysis methods. Use this skill when working on code protection, anti-reverse engineering, or implementing custom obfuscation passes.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
126,Mobile Development,stride-analysis-patterns,"Apply STRIDE methodology to systematically identify threats. Use when analyzing system security, conducting threat modeling sessions, or creating security documentation.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
127,Mobile Development,sast-configuration,"Configure Static Application Security Testing (SAST) tools for automated vulnerability detection in application code. Use when setting up security scanning, implementing DevSecOps practices, or automating code vulnerability detection.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
128,Mobile Development,web-performance-optimization,"Optimize website and web application performance including loading speed, Core Web Vitals, bundle size, caching strategies, and runtime performance",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
129,Mobile Development,profiling-application-performance,"This skill enables Claude to profile application performance, analyzing CPU usage, memory consumption, and execution time. It is triggered when the user requests performance analysis, bottleneck identification, or optimization recommendations. The skill uses the application-profiler plugin to identify performance bottlenecks and suggest code-level optimizations. Use it when asked to ""profile application"", ""analyze performance"", or ""find bottlenecks"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
130,Mobile Development,granola-deploy-integration,"Deploy Granola integrations to Slack, Notion, HubSpot, and other apps. Use when connecting Granola to productivity tools, setting up native integrations, or configuring auto-sync. Trigger with phrases like ""granola slack"", ""granola notion"", ""granola hubspot"", ""granola integration"", ""connect granola"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
131,Mobile Development,generating-end-to-end-tests,"This skill enables Claude to generate end-to-end (E2E) tests for web applications. It leverages Playwright, Cypress, or Selenium to automate browser interactions and validate user workflows. Use this skill when the user requests to ""create E2E tests"", ""generate end-to-end tests"", or asks for help with ""browser-based testing"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
132,Mobile Development,creating-data-visualizations,"This skill enables Claude to generate data visualizations, plots, charts, and graphs from provided data. It analyzes the data, selects the most appropriate visualization type, and creates a visually appealing and informative graphic. Use this skill when the user requests a visualization, plot, chart, or graph; when data needs to be presented visually; or when exploring data patterns. The skill is triggered by requests for ""visualization"", ""plot"", ""chart"", or ""graph"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
133,Mobile Development,single-cell-cellphonedb-communication-mapping,Run omicverse's CellPhoneDB v5 wrapper on annotated single-cell data to infer ligand-receptor networks and produce CellChat-style visualisations.,https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
134,Mobile Development,effect-patterns-platform-getting-started,Effect-TS patterns for Platform Getting Started. Use when working with platform getting started in Effect-TS applications.,https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
135,Mobile Development,android-kotlin,"Android Kotlin development with Coroutines, Jetpack Compose, Hilt, and MockK testing",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
136,Blockchain,gh-issue-triage,"Label taxonomy and triage workflow for GitHub issues. Defines type labels (bug/feature/enhancement/docs/chore), priority levels (critical/high/medium/low), status labels, and triage decision workflow. Use when categorizing and prioritizing issues.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
137,Blockchain,web-test-wallet-sign,"Handle MetaMask signature and transaction popups during Web3 DApp testing - approve signatures, send transactions, call contracts. Detects popup type and handles gas errors.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
138,Blockchain,web-test-wallet-setup,"Set up MetaMask wallet extension for Web3 DApp testing - download extension, import wallet from private key. Run at test start if tests/config.yaml has web3.enabled=true.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
139,Infrastructure,spark-optimization,"Optimize Apache Spark jobs with partitioning, caching, shuffle optimization, and memory tuning. Use when improving Spark performance, debugging slow jobs, or scaling data processing pipelines.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
140,Infrastructure,openrouter-debug-bundle,"Execute set up comprehensive logging and debugging for OpenRouter. Use when investigating issues or monitoring requests. Trigger with phrases like 'openrouter debug', 'openrouter logging', 'openrouter trace', 'monitor openrouter'.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
141,Infrastructure,linear-data-handling,"Data synchronization, backup, and consistency patterns for Linear. Use when implementing data sync, creating backups, or ensuring data consistency across systems. Trigger with phrases like ""linear data sync"", ""backup linear"", ""linear data consistency"", ""sync linear issues"", ""linear data export"".",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
142,Infrastructure,master-plan-manager,"Safe MASTER_PLAN.md management with backup, validation, and intelligent updates. Use when updating task tracking, adding features to roadmap, or modifying project documentation.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
143,Infrastructure,delegation-core,"Delegate tasks to external LLM services (Gemini, Qwen) with quota, logging, and error handling.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
144,Infrastructure,market-signal-tracker,"Operating system for logging market/competitive signals with severity, confidence, and routing.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
145,Infrastructure,orchestrator,"Plan and coordinate multi-agent bead execution. Use when starting a new epic, assigning tracks to agents, or monitoring parallel work progress.",https://ai-skills.io/,https://github.com/kodustech/awesome-agent-skills
